Kategori,Provinsi,Kota_Kabupaten,Kecamatan,Harga_Teks,Harga_IDR,Merk,Model,Tahun,Jarak_Tempuh,Tipe_Bahan_Bakar,Transmisi,Tipe_Penjual,Nama_Bursa_Mobil,Kapasitas_Mesin,Warna,Tipe_Bodi,URL_Detail
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 3.700.000.000,3700000000,Mercedes-Benz,Benz,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/932508881
Mobil Bekas,Jakarta D.K.I.,Jakarta Timur,Jakarta Timur,Rp 120.000.000,120000000,Suzuki,Ertiga,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/945780205
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 529.000.000,529000000,Mitsubishi,GARANSI,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947365592
Mobil Bekas,Jawa Tengah,Surakarta Kota,Surakarta Kota,Rp 488.000.000,488000000,Mercedes-Benz,TERMURAH],NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/946935814
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 3.655.000.000,3655000000,Mercedes-Benz,EQS,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947140245
Mobil Bekas,Jakarta D.K.I.,Jakarta Timur,Jakarta Timur,Rp 3.650.000.000,3650000000,Mercedes-Benz,Benz,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947474418
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 3.650.000.000,3650000000,Mercedes-Benz,G350d,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947301910
Mobil Bekas,Jakarta D.K.I.,Jakarta Pusat,Jakarta Pusat,Rp 3.650.000.000,3650000000,BMW,i8,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/946016397
Mobil Bekas,Jakarta D.K.I.,Jakarta Utara,Jakarta Utara,Rp 3.650.000.000,3650000000,BMW,i8,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/909362604
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 3.550.000.000,3550000000,Mercedes-Benz,GLE53,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947144676
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 3.500.000.000,3500000000,GMC,09-27,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947477108
Mobil Bekas,Jakarta D.K.I.,Jakarta Utara,Jakarta Utara,Rp 3.500.000.000,3500000000,Mercedes-Benz,GTS,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/946465148
